accession	status	symbol	title
XM_015470348.1	suppressed	LOC101902451	PREDICTED: Bos taurus transcription elongation factor A protein-like 3 (LOC101902451), partial mRNA
XM_015470349.1	suppressed	LOC107132036	PREDICTED: Bos taurus late histone H2B.L4-like (LOC107132036), mRNA
XM_015470350.1	suppressed	LOC786698	PREDICTED: Bos taurus testis specific protein, Y-linked 1-like (LOC786698), mRNA
XM_015470351.1	suppressed	TBC1D8B	PREDICTED: Bos taurus TBC1 domain family member 8B (TBC1D8B), mRNA
XM_015470352.1	suppressed	FRMPD3	PREDICTED: Bos taurus FERM and PDZ domain containing 3 (FRMPD3), transcript variant X1, mRNA
XM_015470353.1	suppressed	FRMPD3	PREDICTED: Bos taurus FERM and PDZ domain containing 3 (FRMPD3), transcript variant X4, mRNA
XM_015470354.1	suppressed	RIPPLY1	PREDICTED: Bos taurus ripply transcriptional repressor 1 (RIPPLY1), transcript variant X2, mRNA
XM_015470355.1	suppressed	NUP62CL	PREDICTED: Bos taurus nucleoporin 62kDa C-terminal like (NUP62CL), mRNA
XM_015470356.1	suppressed	MID2	PREDICTED: Bos taurus midline 2 (MID2), transcript variant X1, mRNA
XM_015470357.1	suppressed	TEX13B	PREDICTED: Bos taurus testis expressed 13B (TEX13B), transcript variant X1, mRNA
XM_015470358.1	suppressed	TEX13B	PREDICTED: Bos taurus testis expressed 13B (TEX13B), transcript variant X2, mRNA
XM_015470359.1	suppressed	ACSL4	PREDICTED: Bos taurus acyl-CoA synthetase long-chain family member 4 (ACSL4), transcript variant X1, mRNA
XM_015470360.1	suppressed	ACSL4	PREDICTED: Bos taurus acyl-CoA synthetase long-chain family member 4 (ACSL4), transcript variant X2, mRNA
XM_015470361.1	suppressed	ACSL4	PREDICTED: Bos taurus acyl-CoA synthetase long-chain family member 4 (ACSL4), transcript variant X3, mRNA
XM_015470362.1	suppressed	ACSL4	PREDICTED: Bos taurus acyl-CoA synthetase long-chain family member 4 (ACSL4), transcript variant X5, mRNA
XM_015470363.1	suppressed	ACSL4	PREDICTED: Bos taurus acyl-CoA synthetase long-chain family member 4 (ACSL4), transcript variant X6, mRNA
XM_015470364.1	suppressed	LOC781152	PREDICTED: Bos taurus P antigen family, member 3 (prostate associated)-like (LOC781152), transcript variant X2, mRNA
XM_015470365.1	suppressed	AMMECR1	PREDICTED: Bos taurus Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 (AMMECR1), transcript variant X5, mRNA
XM_015470368.1	suppressed	TRPC5OS	PREDICTED: Bos taurus TRPC5 opposite strand (TRPC5OS), mRNA
XM_015470370.1	suppressed	LOC107132042	PREDICTED: Bos taurus uncharacterized LOC107132042 (LOC107132042), mRNA
XM_015470371.1	suppressed	ZCCHC16	PREDICTED: Bos taurus zinc finger, CCHC domain containing 16 (ZCCHC16), mRNA
XM_015470372.1	suppressed	HTR2C	PREDICTED: Bos taurus 5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled (HTR2C), mRNA
XM_015470373.1	suppressed	LOC100337493	PREDICTED: Bos taurus highly divergent homeobox (LOC100337493), mRNA
XM_015470374.1	suppressed	LOC100847220	PREDICTED: Bos taurus leucine-rich repeat and calponin homology domain-containing protein 2-like (LOC100847220), mRNA
XM_015470375.1	suppressed	LOC100847335	PREDICTED: Bos taurus uncharacterized LOC100847335 (LOC100847335), mRNA
XM_015470376.1	suppressed	DACH2	PREDICTED: Bos taurus dachshund family transcription factor 2 (DACH2), mRNA
XM_015470377.1	suppressed	LOC107132044	PREDICTED: Bos taurus zinc finger CCHC domain-containing protein 16-like (LOC107132044), mRNA
XM_015470378.1	suppressed	LOC107132048	PREDICTED: Bos taurus endogenous retrovirus group K member 7 Gag polyprotein-like (LOC107132048), transcript variant X2, mRNA
XM_015470379.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X7, mRNA
XM_015470380.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X8, mRNA
XM_015470381.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X9, mRNA
XM_015470382.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X10, mRNA
XM_015470383.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X11, mRNA
XM_015470384.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X12, mRNA
XM_015470385.1	suppressed	ALG13	PREDICTED: Bos taurus putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 (ALG13), transcript variant X13, mRNA
XM_015470386.1	suppressed	LOC107132045	PREDICTED: Bos taurus UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC107132045), transcript variant X1, mRNA
XM_015470387.1	suppressed	LOC107132045	PREDICTED: Bos taurus UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC107132045), transcript variant X2, mRNA
XM_015470388.1	suppressed	LOC107132045	PREDICTED: Bos taurus UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC107132045), transcript variant X3, mRNA
XM_015470389.1	suppressed	LOC107132045	PREDICTED: Bos taurus UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC107132045), transcript variant X4, mRNA
XM_015470390.1	suppressed	LOC107132045	PREDICTED: Bos taurus UDP-N-acetylglucosamine transferase subunit ALG13 homolog (LOC107132045), transcript variant X5, mRNA
XM_015470391.1	suppressed	LOC518911	PREDICTED: Bos taurus sodium/hydrogen exchanger 2 (LOC518911), mRNA
XM_015470392.1	suppressed	HMGN5	PREDICTED: Bos taurus high mobility group nucleosome binding domain 5 (HMGN5), partial mRNA
XM_015470393.1	suppressed	LRCH2	PREDICTED: Bos taurus leucine-rich repeats and calponin homology (CH) domain containing 2 (LRCH2), mRNA
