	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
320472	-0.0027642250428269125	-0.00031566360663493303	0.0004144323450799384	0.0007300959517148715	Ppm1e	neither	0.3082317941301845
67168	-0.0024642344044495668	-0.0003138042931357379	-0.0014602565299652662	-0.0011464522368295283	Lpar6	neither	0.5209302983577391
71279	0.0010822080844695792	-0.000310873545137076	-4.7998104217622606e-05	0.00026287544091945343	Slc29a3	neither	-0.5685140770373375
18584	0.0015519245091677445	-0.00030634640892372944	-0.00015637624266971116	0.00014997016625401829	Pde8a	neither	-0.4805203289548587
228852	-0.005435691888646102	-0.0003047555455926355	-0.003522391620192746	-0.0032176360746001102	Ppp1r16b	neither	0.3723743086149637
72748	0.0027519406908945525	-0.00029976293871914833	0.0004942303730140939	0.0007939933117332423	Hdhd3	neither	-0.23265488129930922
18750	0.00697676965306655	-0.00029866049473016777	3.034463510638481e-05	0.0003290051298365526	Prkca	neither	-0.1593062686502337
11688	0.0025435968314431127	-0.00029362054758935003	1.010293344418282e-05	0.0003037234810335328	Alox8	neither	-0.22462842789557727
170459	0.000600176837561622	-0.00029088922453953303	0.0001279177003394522	0.0004188069248789852	Stard4	neither	-1.215676694736144
244757	0.0021600227938497695	-0.0002902166324490483	-0.000128237075468663	0.00016197955698038532	Glb1l2	neither	-0.33549872278320525
19725	0.0016377170605158008	-0.00028542926632247717	0.00010202404979775027	0.00038745331612022744	Rfx2	neither	-0.3961692291216689
634731	-0.0011580345320570907	-0.0002758386626559035	-0.0002630322535503095	1.2806409105593991e-05	Susd1	neither	0.5081366811340975
241230	0.0016679575035964316	-0.00027335105754753625	1.6092768720764033e-05	0.00028944382626830027	St8sia6	neither	-0.3328438738456152
216739	0.0015826697576074818	-0.00026934287371340815	-0.00012076070855181958	0.00014858216516158858	Acsl6	neither	0.08819918887782625
70551	0.0005284756590021292	-0.00026807810498299863	-0.00013912051477264653	0.0001289575902103521	Tmtc4	neither	-1.2030818945662096
19338	0.0011087606525971674	-0.0002667085063608714	0.00017726942961809815	0.0004439779359789696	Rab33b	neither	-0.42690496755739277
18984	-0.0004677289850941731	-0.00026376796969080555	0.00010090540486925864	0.0003646733745600642	Por	neither	1.225657922447748
68667	0.0012506113009730282	-0.0002637148497544113	0.0006781406249534604	0.0009418554747078717	Trpm4	neither	-0.35946327342586776
71240	-0.0009014044302681834	-0.00025849119488165716	-0.00014383228552521094	0.00011465890935644622	Osbpl7	neither	0.6334646966232831
12876	0.0012902334804400738	-0.00025505906653250485	-4.2845453810947975e-05	0.00021221361272155686	Cpe	neither	-0.38182818901530124
102436	0.0019791140382622832	-0.0002539500489411956	0.0009085896560387084	0.001162539704979904	Lars2	neither	0.07065508358267517
69574	0.001944624621259797	-0.0002489363101557578	0.00027605718421110055	0.0005249934943668583	Cmbl	neither	-0.2254331363354851
21942	-0.0016423505990859314	-0.000244606432669976	-0.0008446259236992607	-0.0006000194910292848	Tnfrsf9	neither	0.2782028816913026
269423	0.0021107358348142094	-0.00024146431435946513	9.075304282027699e-05	0.0003322173571797421	Abhd18	neither	-0.20154637930824967
19087	0.001845930405155843	-0.0002336240839155889	-0.0002306469294481292	2.9771544674596926e-06	Prkar2a	neither	-0.1554253448965795
54725	0.0010425560666997326	-0.00022868503641022966	-0.00011361175093032319	0.00011507328547990647	Cadm1	neither	-0.49357916684893005
226409	0.0026196064526806764	-0.0002241527691584682	-0.00035756612093509546	-0.00013341335177662726	Zranb3	neither	-0.19065862420506818
56177	0.00032222908150168956	-0.0002224521720965774	-0.00014601415613373824	7.643801596283917e-05	Olfm1	neither	-1.742906532484844
12287	-0.0012826010088328244	-0.000221049927149582	-0.00036836094683440193	-0.00014731101968481992	Cacna1b	neither	0.19941983587348788
218440	-0.0027615996858228395	-0.00021842252704102363	-0.002611124644884923	-0.0023927021178438996	Ankrd34b	neither	0.04345371293194028
11459	0.0021539017868998788	-0.00021606608050477667	0.0004941149461445409	0.0007101810266493176	Acta1	neither	-0.18213766964771763
66526	-0.0009768889974650556	-0.00021526752729719655	-0.0002979680382182345	-8.270051092103793e-05	Tceanc2	neither	0.6280358062713642
11746	0.001275696845910789	-0.00021227516884562688	4.422040951137417e-06	0.0002166972097967643	Anxa4	neither	-0.3798796284217059
68479	0.0006091328275190451	-0.00021216889579578525	-0.0004454931246830878	-0.00023332422888730253	Phf5a	neither	-0.7453157021334024
77577	0.004616945734945621	-0.00021187339497432875	-0.001791212552934187	-0.0015793391579598582	Spns3	neither	-0.08422029546512964
18974	0.0005076557074740186	-0.0002100883601282342	-0.00028219532023879507	-7.210696011056086e-05	Pole2	neither	-1.06709974763103
14081	0.0008164402953713671	-0.00020327934157288464	-3.225190754955502e-05	0.00017102743402332962	Acsl1	neither	-0.6020802861732879
330409	-0.0013515279801102889	-0.00020269500881074656	6.371624505127754e-05	0.0002664112538620241	Cecr2	neither	0.6899096166527412
16535	0.0019316343281472433	-0.00020202370949357296	-0.00033288695827690933	-0.00013086324878333638	Kcnq1	neither	-0.22317941113739873
11927	-0.00225535285667743	-0.00020052771271116058	-0.0003515862685467418	-0.0001510585558355812	Atox1	neither	0.3644925850695004
67198	-0.003235914817566659	-0.0001998382318290915	-0.000815061237049346	-0.0006152230052202546	Spats2l	neither	0.13768712585842838
105439	0.0051152058091766175	-0.00019128654533144822	0.0010444718042289377	0.0012357583495603858	Slain1	neither	0.18120193555383893
20656	-0.0017909472494701708	-0.00018974119742389366	-0.0004405960037455263	-0.0002508548063216326	Sod2	neither	0.46448501929264335
12842	-0.0015254770435705024	-0.000188834135575994	-0.0005526862698424702	-0.0003638521342664762	Col1a1	neither	0.061156105778337966
50934	0.002924093180386018	-0.00018862425455893985	0.0008961925859256847	0.0010848168404846246	Slc7a8	neither	-0.13926763782571774
17345	-0.0011538563094566025	-0.00018799575917051518	0.0002603819332660907	0.0004483776924366059	Mki67	neither	0.6926073646806891
72585	-0.0011194375224351384	-0.0001792681477691925	-0.0004079604608106166	-0.00022869231304142412	Lypd1	neither	0.4012234800521435
66446	-0.0017546603836974077	-0.00017886807177311466	0.001638745429120046	0.0018176135008931605	Exosc7	neither	0.40761003397085926
210044	-0.0018429166625334968	-0.00017119293610611837	0.0002828220353195238	0.00045401497142564216	Adcy2	neither	0.46610479291455315
209032	-0.0005246124539789618	-0.00017077171152103866	-0.00045045026969072366	-0.000279678558169685	Zc3hav1l	neither	0.6599609171546892
14313	-0.00497343585657395	-0.00016573014226633435	-0.0032317359389510384	-0.003066005796684704	Fst	neither	-0.09524180860645387
319520	0.0005273626898562722	-0.00016531619629014962	0.0002448614424643261	0.0004101776387544757	Dusp4	neither	-0.45895236144227786
319266	0.003320608345166258	-0.00015949803073690312	0.0013722433531697341	0.0015317413839066373	A130010J15Rik	neither	-0.04873656821004169
22249	0.005809095560804253	-0.00015769941408909523	-0.0009943385632768871	-0.0008366391491877919	Unc13b	neither	0.06276852510071883
68642	-0.0017516443746837505	-0.00015510750781705742	0.0003532024909798565	0.0005083099987969139	Tmem216	neither	0.368945572440938
12550	0.0018985996381031985	-0.00015395330676604095	0.0003704316175485452	0.0005243849243145862	Cdh1	neither	-0.11360159304106465
14419	-0.0031341042953762694	-0.00015364562567294238	-0.0021323614659849383	-0.001978715840311996	Gal	neither	-0.14006096761888517
57340	0.0014506471849769678	-0.0001512837317299944	-0.00024154249524283182	-9.025876351283742e-05	Jph3	neither	-0.17315247876239248
12494	-0.0015554217751928888	-0.0001504619699491078	-0.0010414047596633918	-0.000890942789714284	Cd38	neither	0.1670701463785511
12931	0.0008341359136735704	-0.00014752086335997284	-0.00019605207649880986	-4.8531213138837024e-05	Crlf1	neither	-0.42001756371317395
