	control	A485	A485+Dux	symbol
13106	0.00012040226177905723	0.0006219725392548667	-0.00016461380429929446	Cyp2e1
18142	-0.0	-0.0	-0.0	Npas1
240752	-0.0013294084458464368	-0.0012363942821544437	-0.00121189868898603	Pik3c2b
67582	0.00122250611196387	0.0014008004841973539	0.0022851671786066363	Slc25a26
246707	0.00022657500312425532	0.00020671280703234672	0.00030871633278110313	Emilin2
100515	-0.01472307964567629	-0.01935803256881793	-0.017737904904443595	Zfp518b
59288	0.0042007568571541505	0.0026346548748132147	0.004927605606673944	Dctn5
64424	-0.00012969223743483703	-5.239622287616172e-05	-0.0001743091040854062	Polr1e
15896	-0.0	-0.0	-0.0	Icam2
268709	-0.0	-0.0	-0.0	Fam107a
272465	-0.0017254450930617867	-0.0014276972326697209	-0.0017210333177352858	Tmem255b
19329	-0.0	-0.0	-0.0	Rab17
100434	0.00045698634774075464	0.0002336250484843884	0.00019707136912630097	Slc44a1
77116	0.00010698372472410246	-0.00012038197124190629	-2.045918289045354e-06	Mtmr2
22021	0.0020536790568797666	0.002031384314221428	0.0011794584309701176	Tpst1
52009	-0.0021974599229834064	-0.0011266506694655775	-0.0017378199188850087	Jpt2
83603	0.0002732968370079456	-0.004013736650638424	-0.0024713674286019807	Elovl4
110417	-0.0030028459956268436	-0.0010483728612953687	-0.0009550449961326298	Pigh
74147	0.0010925293114741543	-0.0009683168321799755	-0.0011930282200915206	Ehhadh
93689	-0.010667970622890972	-0.008733125019845904	-0.007564253325573252	Lmod1
240518	0.0034709259113881044	-0.00023589003815327486	0.0027040302603716076	Peli3
74414	-0.005106149092769612	0.006048218555726959	-0.0005381984264403623	Polr3c
242505	0.0010465377821156474	0.0022989681623938364	0.0009043672066640913	Rasef
21802	-0.003037571477894259	-0.0017599873874908443	-0.0009460828410850458	Tgfa
55985	-0.002475985707057106	-0.000968578003869785	-0.0020149617460716402	Cxcl13
106878	-0.0	-0.0	-0.0	Smim3
67369	0.004242871752140416	0.004826075549161436	0.0025634721273374377	Qpctl
12142	-0.002439610372327476	-0.0010302143525828412	-0.0024158280011899445	Prdm1
74039	-0.002771139506059195	8.72201006551463e-05	-0.0022837411209865968	Nfam1
546134	0.00014922903407227375	0.0001357951416749154	8.310463040536586e-05	Gramd2
14251	-0.0006512948494893373	-0.0014550905178134599	0.0002440575410961352	Flot1
56221	-0.0	-0.0	-0.0	Ccl24
320204	0.0034275319641452542	0.002114253208417717	0.00317771597668923	Etfbkmt
234214	-0.00011259028992563868	-3.079428181181523e-05	-7.947310499937609e-05	Sorbs2
20965	-0.0	-0.0	-0.0	Syn2
16011	-0.002657379402808017	-0.0019706039874705502	-0.0010754457565565986	Igfbp5
240638	5.325232845772e-05	0.0015379219030429124	0.0023803703466176926	Slc16a12
12416	0.00012051911699721055	0.0003451719486939528	0.00010192162544721338	Cbx2
57814	0.0	0.0	0.0	Kcne4
233733	-0.0	-0.0	-0.0	Galnt18
223881	6.298662458795136e-06	-1.8061321054520376e-06	2.0436692693740966e-06	Rnd1
209558	0.0010370642186388415	0.002749132370881746	0.0008678399154699464	Enpp3
17436	0.009524102115133068	0.001659322135682527	0.005895229795679825	Me1
12575	-0.0003805022651371128	0.014324560264246824	0.010691736274263829	Cdkn1a
235134	0.00029937510467069344	0.00026406024065942234	0.0003153229806782555	Nfrkb
63954	-0.0009248635209961405	-0.0018329682486299948	-0.0024569438733866404	Rbp7
58243	-0.007498246195687874	0.0022147468655384418	-0.009594959255081501	Nap1l5
19204	-0.001391993734498581	-0.00041049034554485635	-0.0003847271273549779	Ptafr
78908	-0.0015388953145026106	-3.424993012904786e-06	-0.0008879802826103875	Igsf3
12183	-0.001985693889130975	-0.0006684428964396542	-0.0013164729840427793	Bpgm
70574	0.002089480257532215	0.0012724031632119534	0.002843766131096124	Cpm
76223	-0.0012114590228443165	-8.742395660210145e-05	-0.0008261267515729633	Agbl3
71648	-0.002983119706295131	-0.0015193694083037263	-0.003083342501529693	Optn
14419	-0.00015364562567294238	-0.0021323614659849383	-0.001802712259518745	Gal
12062	0.0	0.0	0.0	Bdkrb2
16846	0.0	0.0	0.0	Lep
224008	-0.007156720297263417	-0.008479595683380301	-0.00783070305299642	Spidr
20682	0.0005396802443860011	0.0016274266785170823	0.0007477170359761685	Sox9
75750	0.0020643013905767295	0.001345341862390761	0.0038123284150242973	Slc10a6
235472	-0.0011800526580157263	-0.005806383955311141	0.0020589957508192758	Prtg
208518	0.00041621718338715575	0.0003343988148396258	0.0004447952471005723	Cep78
21817	0.0	0.0	0.0	Tgm2
20745	-8.259067024903072e-05	-0.00016688356607611583	-0.0001795743346265125	Spock1
268902	-0.00040420100792395346	-0.00015951491944680375	-0.0003924286961458378	Robo2
19419	-0.0	-0.0	-0.0	Rasgrp1
70415	-0.0	-0.0	-0.0	Stk26
56434	0.004190297029034277	0.004792691421572674	0.0036001074241044273	Tspan3
24110	0.0	0.0	0.0	Usp18
19183	-0.0012212252657882246	-3.70085836702988e-06	-0.001281275400358279	Psmc3ip
353502	0.002942083660787363	0.0009910360910608562	0.002122805639205671	Hcfc1r1
66208	-0.0	-0.0	-0.0	Nenf
71820	0.0002623240276902196	0.0008790461085091889	0.00026739899585385485	Wdr34
66614	-0.016105960011087328	-0.0035865297186926793	-0.01088485845678145	Gpatch4
73094	0.00016880972854663517	-0.00016641186108747692	1.5464739224201864e-05	Sgip1
118454	-0.0	-0.0	-0.0	Gjc2
237611	-0.0	-0.0	-0.0	Stac3
68039	-0.0012521276089804364	-0.0023182803478753013	-0.003350624662367775	Nmb
13844	-5.85044852896798e-05	0.00023822676087571586	6.513943035029709e-05	Ephb2
12839	-0.0	-0.0	-0.0	Col9a1
140792	0.00010002728664553121	-0.00014375401769658859	9.61831562805773e-05	Colec12
22422	-0.002838296263778395	-0.003880222573529129	-0.00589500572918368	Wnt7b
67971	-4.275108787847345e-06	0.0009231659704552549	-0.00018939355987673725	Tppp3
12512	0.005867085126341982	0.005426653095384735	0.006563675022821354	Cd63
53418	-0.0020477498726123233	-0.0017864079594226343	-0.0020336277386768103	B4galt2
77411	-5.192356403172931e-05	-0.00013127784250590134	-0.000279981050255715	Esrp2
11593	0.0009350902937124407	0.0006826250949894583	0.00041886382433468336	Aga
13609	-0.0	-0.0	-0.0	S1pr1
228775	-0.0016225103337612857	-0.0019191684475902034	-0.002788474149802244	Trib3
12972	-0.002133992328800716	-0.002837841447222078	-0.004125286310839335	Cryz
56532	-0.0	-0.0	-0.0	Ripk3
232223	-0.0015173000889670799	-0.00039047172341488077	-0.0003849211088345022	Txnrd3
194309	0.0	0.0	0.0	Vps37d
