	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
16-cell_2	Cow	16-cell	6.002568623838283	4.0305997219659515	0.03275125951332248	-0.04216355696606593	0.2704912144692511	
16-cell_3	Cow	16-cell	6.042486124413644	4.0342272607705505	-0.18826276305520864	-0.32818419117832304	-0.5150554387118264	
16-cell_4	Cow	16-cell	6.124120297972835	4.018700498666243	-0.3344697113409999	-0.1755204363594999	-0.6949323077813098	
16-cell_5	Cow	16-cell	6.340042553893235	4.029464946638236	-0.23163511256887434	-0.11592527147823362	-0.5132447688914811	
16-cell_6	Cow	16-cell	6.397112149722969	4.026533264523297	-0.16481951514586157	-0.21513016873599408	-0.14672164589483305	
16-cell_7	Cow	16-cell	6.373107943348421	4.022675761953727	-0.30528640226196646	-0.3325437866493327	-1.694936024368979	
16-cell_8	Cow	16-cell	6.023191118924902	4.001647191346038	-0.41307859219523657	-0.43320800659254816	-1.0252760810625756	
16-cell_9	Cow	16-cell	6.205810166508423	4.033584575515413	-0.15416912206149938	-0.19458770734422307	-0.6030502975722518	
2-cell_1	Cow	2-cell	6.265688842347141	4.029180788907547	0.0674802926801251	-0.09468989450552481	0.19111243137411	
2-cell_10	Cow	2-cell	6.153277530754617	4.032135046879902	0.1523844268623806	-0.04645136708223601	0.24158124525513358	
2-cell_11	Cow	2-cell	6.044593064025052	4.031973689091717	0.010239208213981301	-0.12693307193634257	0.1637236063802391	
2-cell_12	Cow	2-cell	5.735125228564376	3.9973426906016223	-0.052542129342035386	-0.08033439075666216	0.14071423056929033	
2-cell_2	Cow	2-cell	6.298827105259633	4.031044716583705	0.06871824320410677	-0.08103069078225869	0.051612819602026336	
2-cell_3	Cow	2-cell	6.376847303323899	4.047975405279086	0.10132367472334755	-0.042822315886570754	0.3127285782643606	
