	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
16007	0.004863931105344555	-0.004761115723718366	-0.0009173598198011871	0.0038437559039171793	Ccn1	neither	-1.7142813472143819
242509	0.01216250900099952	-0.004732941119600023	-0.0028536054302100333	0.0018793356893899893	Bnc2	neither	-0.911912843629803
320974	-0.007372898978295856	-0.004714570542561752	-0.0031632894095435797	0.0015512811330181723	Lrrn4	neither	2.013972045054913
170768	-0.0051223167767096775	-0.004692993996381564	-0.003489608717959373	0.0012033852784221915	Pfkfb3	neither	3.071439139686327
20750	0.003349843303526912	-0.004692415382502549	-0.002121504728337381	0.002570910654165168	Spp1	neither	-2.008552112016371
66169	-0.007860826908464836	-0.004662642589135293	-0.005064429736640363	-0.0004017871475050696	Tomm7	neither	1.850464969746198
100072	0.0068007936569947445	-0.004648294821526861	-0.0036546519626520784	0.0009936428588747828	Camta1	neither	-1.7479994116662325
77065	-0.0034356155529110203	-0.004519775193455506	-0.0027357191570730865	0.0017840560363824197	Ints7	neither	3.846606408480898
110446	0.013507354899313987	-0.004485848737548017	-0.004167138488832768	0.0003187102487152496	Acat1	neither	-0.7326096740010178
54598	-0.011784992647731399	-0.004479000769827968	-0.005715081321294431	-0.0012360805514664624	Calcrl	neither	0.8661231318767839
192216	0.010229070713615535	-0.0043603152101978696	-0.003225864015751889	0.0011344511944459804	Tmem47	neither	-0.8765150366484249
104943	0.0030005648441270147	-0.00435227082124695	-0.0034021975371855175	0.0009500732840614324	Fam110c	maternal	-3.4177356461761335
83965	0.00841295598941518	-0.0043396467752632	-0.003129939473207364	0.001209707302055836	Enpp5	neither	-1.2138421381040765
17916	0.0066294198549797	-0.004252284190026063	-0.0014123603521907554	0.0028399238378353075	Myo1f	neither	-0.5942380246071268
70350	-0.0051854278735059735	-0.004222222420882013	0.0008060789732747606	0.005028301394156773	Basp1	neither	2.119087205016203
268465	-0.005276629653256493	-0.004172009903175888	-0.0029919284253268146	0.0011800814778490736	Eme1	neither	2.4783795290355517
14534	-0.0099278063097291	-0.004134059406155744	-0.0026850937106728157	0.0014489656954829286	Kat2a	neither	1.527440346521184
