Unnamed: 0	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
Zygote_3	Cow	Zygote	6.259450045786797	4.038977622332692	0.0095448832004468	-0.0417765040896651	0.0719035289083676	
Zygote_4	Cow	Zygote	6.333806048987504	4.036748629172203	0.0146208152112288	-0.2006254044204745	-0.4572063405447191	
Zygote_5	Cow	Zygote	6.410256273638277	4.051808294317092	-0.0025024196678664	-0.0804323209869999	0.0572892732957367	
Zygote_6	Cow	Zygote	6.29946872693082	4.04083959468534	0.0014805187406668	-0.053834310920508	0.1042021728261514	
Zygote_7	Cow	Zygote	6.1873559961091305	4.049838000622583	0.1521163584518786	0.03645614539975	0.2505263550686288	
Zygote_8	Cow	Zygote	6.228108934566684	4.043283665570575	0.1790372068109895	0.0180682197830512	0.6133556711094856	
Zygote_9	Cow	Zygote	6.139199418977772	4.04292973334316	0.0579151819673334	-0.074300293389732	0.0357892120241028	
2-cell_1	Pig	2-cell	6.058769072686249	4.02739038468497	0.2438926589324865	0.117242617595275	0.6518236148527207	
2-cell_10	Pig	2-cell	6.194536541671968	4.030316305988586	0.1670162137439654	-0.0421491806153006	0.1818950880764058	
2-cell_11	Pig	2-cell	5.643917320342688	4.009365898346244	0.4068048174237997	0.2118958504567864	0.4161298722359016	
2-cell_2	Pig	2-cell	6.130657277786727	4.026737494238748	0.1313669567254429	0.0257941336604701	-0.0861582964052471	
2-cell_3	Pig	2-cell	6.110213832460572	4.020485585796552	0.1119743054498529	-0.0473013332800409	-0.2025900268309435	
2-cell_4	Pig	2-cell	6.002316418293	4.0080889362915775	0.3032676170770799	0.003290759910189	0.5604386368128109	
2-cell_5	Pig	2-cell	6.273731430777223	4.0341068297076434	0.094967055239685	-0.0255644558522087	-0.0283986109636776	
2-cell_6	Pig	2-cell	5.970203172591608	4.008003671840159	0.1336001163196042	-0.0382500889911257	0.32740767540026	
2-cell_7	Pig	2-cell	6.246510151979887	4.031287248876998	0.1518422143776508	-0.0457311078684273	-0.1397661288089923	
2-cell_8	Pig	2-cell	6.232310857826899	4.025223915178311	0.1265147236678962	0.0155197370576534	0.3002992042103121	
4-cell_1	Pig	4-cell	6.059284653005769	4.033021444682911	0.1148764321172134	-0.0286058883649418	-0.1957852953166632	
4-cell_10	Pig	4-cell	6.074730158086751	4.037784941753637	0.162229582260052	-0.0171166087219936	0.2387350114376206	
4-cell_11	Pig	4-cell	6.088619747420544	4.023293623036605	0.1833980024606292	0.0150187199324276	0.2551791991271467	
4-cell_12	Pig	4-cell	6.076555979195909	3.991447598003803	0.132794813192108	0.0725867616050203	-0.0699387708186795	
4-cell_2	Pig	4-cell	6.207001985845958	4.047742018180641	0.0857493631503531	-0.0107837956279859	0.1629452420633077	
4-cell_3	Pig	4-cell	6.219084721490369	4.043912167101254	0.2351173475795022	-0.0049815598728867	0.18264378106495	
4-cell_4	Pig	4-cell	6.104542760263069	4.0244035626829655	0.0593560727841293	-0.0590009283966344	-0.3269933022951023	
4-cell_5	Pig	4-cell	6.020128740244737	4.03981055414835	0.1479795952017633	0.0076302885557113	0.2199837018794963	
4-cell_6	Pig	4-cell	6.27448991136089	4.0600175425316	0.2198601273341354	0.0138139018022112	0.4255093648417352	
4-cell_7	Pig	4-cell	6.1873145230198805	4.044461360810665	0.2403569416623746	0.0683536652980493	0.3778396456477577	
4-cell_8	Pig	4-cell	5.795777859267671	3.9977357765978985	0.2203079180387647	0.1054926370249639	0.2837355577806545	
4-cell_9	Pig	4-cell	6.312520719666673	4.043322973574576	0.0050391383469349	-0.0025062412573265	-0.2042511241245369	
Day2_1	Pig	Day2	6.081085427794768	4.033504172945174	0.1132557012493017	0.0900090941154166	0.158972852190126	
Day2_10	Pig	Day2	6.108333270537638	4.046495164334709	0.1541980784684944	-0.0172298073907459	0.2817628817068046	
Day2_11	Pig	Day2	6.226288441776772	4.067405658437824	-0.0123871463179645	-0.0669911342785582	-0.2597382737982648	
Day2_12	Pig	Day2	6.093204483616371	4.057323705369284	0.1292373614660544	-0.038334102396961	0.2803939801916722	
Day2_2	Pig	Day2	6.107820267248048	4.0521935804334746	0.1041133828919311	-0.0024878298177333	0.3805062191703386	
Day2_3	Pig	Day2	5.929733547489641	4.025141949625193	0.1850993093257991	0.0448342093528257	0.3799202547282536	
Day2_4	Pig	Day2	5.811418148984597	4.020112569565467	0.0111003011894233	-0.0401685009165549	0.2452515762177119	
Day2_5	Pig	Day2	6.05536495061705	4.0340666785975605	0.1598930776210668	0.0807281175354436	0.310867880363374	
