Unnamed: 0	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
50765	0.0032073677371489	-0.0025675676255296	5.910297292036487e-05	0.0026266705984499	Tfr2	neither	-0.7977282026745809
338365	0.011331598948295	-0.0025598790427445	-0.0035895305278773	-0.0010296514851328	Slc41a2	neither	-0.3148507867813707
353282	-0.003042383817519	-0.0025300086590711	-0.0021439261305819	0.0003860825284892	Sfmbt2	neither	1.5998858505435114
78560	-0.0029676289340674	-0.0025221162209894	-0.0008499658259279	0.0016721503950614	Adgra2	neither	2.1916872115319603
12183	0.003607809762465	-0.0025079720380935	-0.0010703482469012	0.0014376237911922	Bpgm	neither	-1.7996125216492629
15200	-0.0078281967782354	-0.002481159758757	-0.0033532529345831	-0.0008720931758261	Hbegf	neither	1.0669267685647332
66673	0.0048331561953118	-0.0024621079018104	-0.0042120295572234	-0.001749921655413	Sorcs3	neither	-0.979698655086355
20856	0.0042816150779381	-0.0024581242777707	-0.0034204461097094	-0.0009623218319387	Stc2	neither	-1.1956510853529825
13809	0.0038047492033331	-0.0024563203252362	-0.0021726511475847	0.0002836691776514	Enpep	neither	-0.5668248211547134
74895	0.0055577808847298	-0.0024545084906262	-0.0033134668739489	-0.0008589583833227	Ccdc181	neither	-1.0205396637646906
22042	-0.0018325817130129	-0.0024512849893954	-0.002610810980997	-0.0001595259916015	Tfrc	neither	4.196164986283265
74770	0.0044426993609604	-0.0024339393608149	-0.0044811860809901	-0.0020472467201752	Hhatl	neither	-0.6409386033834275
110417	-0.0024154235182933	-0.0024322767871768	-0.001696191454898	0.0007360853322788	Pigh	neither	2.692695388670468
67795	0.0018137066172813	-0.0024299739203608	-0.0019281254236858	0.0005018484966749	Rnls	neither	-1.86481971120736
83603	-0.0049799743548108	-0.0024129345857418	-0.0041119163692262	-0.0016989817834844	Elovl4	neither	1.2294630482892714
18553	0.0068757415278268	-0.0024089671030325	-0.0007543113900033	0.0016546557130291	Pcsk6	neither	-0.6231766363578154
14229	0.0118376923474065	-0.0023854197075105	-0.0013026412855841	0.0010827784219264	Fkbp5	neither	-0.38278670131741
12834	-0.0078987736097285	-0.0023822524102973	0.0062569264677292	0.0086391788780266	Col6a2	neither	0.4295934039420817
74393	-0.0051660066126887	-0.0023597708297492	-0.00264937890275	-0.0002896080730008	Map10	neither	1.6595255464486984
66416	-0.0068789799355438	-0.0023461104945258	-0.0029018724723226	-0.0005557619777967	Ndufa7	neither	1.0286634218191943
109254	0.0026360720055703	-0.0023418552295084	-0.0012364813399684	0.00110537388954	Adtrp	neither	-1.842625870964832
231130	-0.0038553976596541	-0.0023334320132832	-0.0021025354413971	0.0002308965718861	Tnip2	neither	1.7373999515511749
75769	-0.0055123052838251	-0.0023327986273646	0.0010469126752288	0.0033797113025935	Plppr5	neither	0.7348478658753664
207181	-0.0088685810502215	-0.0023214768943045	0.0028495668019398	0.0051710436962443	Rbms3	neither	0.3705377086230219
382045	0.0031289150091769	-0.0023101736960922	-0.00173308297184	0.0005770907242521	Adgrg5	neither	-1.2443992936774897
94040	-0.0056827065581541	-0.0023013198310953	0.0001175115712776	0.0024188314023729	Clmn	neither	1.0995501241473578
20391	0.0023670772325921	-0.0022679700908666	-0.0022479612363906	2.0008854476070807e-05	Sgca	neither	-1.0494427775214263
12227	0.0035194256547509	-0.0022676371865287	-0.0007476254955889	0.0015200116909397	Btg2	neither	-1.4116908223485491
15939	0.0034449330439678	-0.0022501406578483	0.0021139191295304	0.0043640597873788	Ier5	neither	-0.7233186698305805
240667	0.0033283368530879	-0.0022440845049196	-0.0014109760597163	0.0008331084452032	Sec31b	neither	-0.6308162165687765
67419	0.0088408815961932	-0.00223394571826	-0.0022494069141471	-1.5461195887164162e-05	Armh4	neither	-0.2675315112537563
76527	0.0048900911844903	-0.0022147909596202	-0.0020657026177079	0.0001490883419123	Il34	neither	-0.883218131368596
15442	0.007972589690845	-0.002214753448248	0.0008240687139919	0.00303882216224	Hpse	neither	-0.5021740428622387
213435	-0.0049276229915091	-0.0022140114921536	0.0009890241268957	0.0032030356190494	Mylk3	neither	0.6765977433138368
240185	-0.0166519600190286	-0.0022081342093445	0.0015297111184195	0.003737845327764	Jcad	neither	0.597453289337796
16011	0.0071815632894081	-0.0022001257032778	-0.0026040433814866	-0.0004039176782087	Igfbp5	neither	-0.5815928874801756
110893	0.0036217304758033	-0.0021999964482328	-0.0006422307799303	0.0015577656683025	Slc8a3	neither	-0.3656998968053346
72685	0.0031573871900615	-0.002192533569686	0.0007557374903994	0.0029482710600855	Dnajc6	neither	-0.857967499029482
15114	0.0079218522771848	-0.0021706499914084	-0.0062469731141767	-0.0040763231227683	Hap1	neither	-0.4698258868979945
100705	0.0110256421265972	-0.0021577375008906	-0.0039149309039784	-0.0017571934030878	Acacb	neither	-0.349304566502159
237711	0.0059229663975063	-0.0021445492553843	-0.0011176662937104	0.0010268829616738	Eml6	neither	-0.8073488523473604
228775	-0.0021459013234134	-0.0021265901135076	-0.0026656638308028	-0.0005390737172952	Trib3	neither	2.886072368967162
170711	-0.0063884030865727	-0.0021252135168057	-0.0028105853298245	-0.0006853718130187	Otud7a	neither	0.9823176327366314
238257	0.0046193012286029	-0.0021196188781216	-0.0022486179351799	-0.0001289990570582	Tmem30b	neither	-0.7866631864756095
231004	-0.0048999903255847	-0.0021105731321899	-0.0023805411166695	-0.0002699679844796	Samd11	neither	1.0318317202655587
16776	0.0057541760199107	-0.0021063120309948	-0.0019411505301796	0.0001651615008151	Lama5	neither	-0.8217863231270958
216560	0.0049281641779402	-0.0020921133508094	0.0022583247396739	0.0043504380904833	Wdpcp	neither	-0.6073782339930391
14027	0.0032361659784272	-0.0020825994489296	-0.0020282161111527	5.438333777692652e-05	Evpl	neither	-1.0099142726622046
20350	-0.0073023407028875	-0.0020506138513321	-0.0021136452427126	-6.303139138057754e-05	Sema3f	neither	0.8588140584013364
77505	-0.0038036660445294	-0.0020330514811339	-0.0013920222710744	0.0006410292100595	Dnhd1	neither	1.74940434981987
22151	0.004035142885398	-0.0020197283449313	-0.0014881472630511	0.0005315810818802	Tubb2a	neither	-1.2381467404289417
227094	0.0074465333604815	-0.0020192538262229	-0.003008165149862	-0.0009889113236391	Nemp2	neither	-0.3183424963804585
66011	-0.0100628050889383	-0.0020174048306203	-0.0024111551217138	-0.0003937502910934	Ranbp17	neither	0.8158865185093226
71839	0.0022966660529638	-0.0020029685100748	-0.0013636288587548	0.0006393396513199	Osgin1	neither	-2.1637979870471287
23821	-0.0059689713279545	-0.0019871870393748	-0.0002920119389286	0.0016951751004461	Bace1	neither	1.379647022586259
59126	-0.010257811255748	-0.0019864138913915	0.0002073834878241	0.0021937973792156	Nek6	neither	0.2662050739921733
18933	0.0039935736715475	-0.0019750435205435	-0.0020152127603039	-4.016923976034878e-05	Prrx1	neither	-1.1087272555130467
12373	0.0025110662445923	-0.0019427003262039	-0.0009061180291015	0.0010365822971023	Casq2	neither	-1.642465821510551
214253	-0.0025737234187639	-0.0019359147490459	-0.0025015124316625	-0.0005655976826165	Etnk2	neither	0.9043156861619076
14773	-0.0125979680924513	-0.0019354270672135	-0.0003675233271824	0.001567903740031	Grk5	neither	0.7355455785481776
53418	0.0046350872810782	-0.0019330990478972	-0.0019862610377964	-5.316198989920029e-05	B4galt2	neither	-0.9314876947430296
104346	0.0029858326805612	-0.0019211586656672	-0.0015868731038556	0.0003342855618116	Gas8	neither	-1.5577784298461403
