entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
237010	Klhl4	0.0035568900338991		not_expressed	0.0	0.0	0.0	0.0	0.0	
238328	Vash1	-0.0083762278664767		not_expressed	-0.0	-0.0	-0.0	-0.0014802264108001	0.0019255249499936	0.5437687363881554
12839	Col9a1	-0.0162627762741861		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
13609	S1pr1	-0.0175326157597476		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
56532	Ripk3	-0.0003456546405641		not_expressed	-0.0	-0.0	-0.0	-9.293328387024107e-05	-0.0001608888701752	0.7852942241117524
170835	Inpp5j	-0.0041557435330595		not_expressed	-0.0	-0.0	-0.0	0.0014560045070018	0.0019421383249843	-1.3700380101393597
64176	Sv2b	0.0032499053615832		not_expressed	0.0	0.0	0.0	0.0	0.0	
230775	Adgrb2	0.0035934664137159		not_expressed	0.0	0.0	0.0	0.0	0.0	
56745	C1qtnf1	-6.775146498161375e-05		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
319229	Sctr	-0.0008092546690677		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
20389	Sftpc	-0.0008732044257588		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
24053	Sgcg	-0.0052404347415645		not_expressed	-0.0	-0.0	-0.0	-0.0011396916743591	-0.0024205399592729	0.5829818215291667
14560	Gdf10	-0.0095940556386522		not_expressed	-0.0	-0.0	-0.0	-0.0012659401398305	0.0001930039289571	0.329745503769146
50528	Tmprss2	0.0004481769160458		not_expressed	0.0	0.0	0.0	0.0	0.0	
18654	Pgf	-0.0015535243256292		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
194309	Vps37d	0.0021343401349056		not_expressed	0.0	0.0	0.0	0.0017030789451309	0.0015516562647355	1.0397109716691495
13041	Ctsw	0.0043912741471773		not_expressed	0.0	0.0	0.0	0.0	0.0	
77318	Ankrd55	0.000784433178302		not_expressed	0.0	0.0	0.0	0.0	0.0	
66548	Adamtsl5	0.0102365162948576		not_expressed	0.0	0.0	0.0	0.0082290607556586	0.0073740345166845	1.0313197493684156
67580	Lrrc18	0.0009954603507748		not_expressed	0.0	0.0	0.0	0.0	0.0	
72002	Slc39a5	-0.0126553242000014		not_expressed	-0.0	-0.0	-0.0	0.0060532231157463	0.0005465863323421	-0.9729157761704958
269615	Plch2	-0.0128410093257001		not_expressed	-0.0	-0.0	-0.0	-0.0088619939779669	-0.0115664494315857	1.576150427561842
20319	Sfrp2	0.002925097274565		not_expressed	0.0	0.0	0.0	0.0	0.0	
231691	Sds	-0.0079891393496253		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
75641	1700029I15Rik	-0.0040863274526894		not_expressed	-0.0	-0.0	-0.0	-0.0003860357478515	0.0009429968817783	0.2816438680581302
54672	Adgrg3	-0.003115413336927		not_expressed	-0.0	-0.0	-0.0	0.0001112622401149	-0.0001828216932746	-0.0462857805084331
24110	Usp18	0.0028095706115958		not_expressed	0.0	0.0	0.0	0.0	0.0	
70415	Stk26	-0.0059375925810631		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
19419	Rasgrp1	-0.0017836163918988		not_expressed	-0.0	-0.0	-0.0	0.0010078752728953	0.000404314891179	-0.7380100082731785
21817	Tgm2	0.0071484732900091		not_expressed	0.0	0.0	0.0	0.0	0.0	
19011	Endou	-0.0095123617304121		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
29818	Hspb7	-0.0023690314329773		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
68352	Aspdh	0.00099820003738		not_expressed	0.0	0.0	0.0	0.0	0.0	
230103	Npr2	9.861151436467484e-05		not_expressed	0.0	0.0	0.0	0.0	0.0	
