dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE225056	Gate 1	Cow	Zygote_5	GSM7038269		Zygote		V0	oocytes of the same species	-0.0025024196678664
GSE225056	Gate 1	Cow	Zygote_6	GSM7038270		Zygote		V0	oocytes of the same species	0.0014805187406668
GSE225056	Gate 1	Cow	Zygote_7	GSM7038271		Zygote		V0	oocytes of the same species	0.1521163584518786
GSE225056	Gate 1	Cow	Zygote_8	GSM7038272		Zygote		V0	oocytes of the same species	0.1790372068109895
GSE225056	Gate 1	Cow	Zygote_9	GSM7038273		Zygote		V0	oocytes of the same species	0.0579151819673334
GSE225056	Gate 1	Pig	2-cell_1	GSM7038196		2-cell		V0	oocytes of the same species	0.2438926589324865
GSE225056	Gate 1	Pig	2-cell_10	GSM7038204		2-cell		V0	oocytes of the same species	0.1670162137439654
GSE225056	Gate 1	Pig	2-cell_11	GSM7038205		2-cell		V0	oocytes of the same species	0.4068048174237997
GSE225056	Gate 1	Pig	2-cell_2	GSM7038197		2-cell		V0	oocytes of the same species	0.1313669567254429
GSE225056	Gate 1	Pig	2-cell_3	GSM7038198		2-cell		V0	oocytes of the same species	0.1119743054498529
GSE225056	Gate 1	Pig	2-cell_4	GSM7038199		2-cell		V0	oocytes of the same species	0.3032676170770799
GSE225056	Gate 1	Pig	2-cell_5	GSM7038200		2-cell		V0	oocytes of the same species	0.094967055239685
GSE225056	Gate 1	Pig	2-cell_6	GSM7038201		2-cell		V0	oocytes of the same species	0.1336001163196042
GSE225056	Gate 1	Pig	2-cell_7	GSM7038202		2-cell		V0	oocytes of the same species	0.1518422143776508
GSE225056	Gate 1	Pig	2-cell_8	GSM7038203		2-cell		V0	oocytes of the same species	0.1265147236678962
GSE225056	Gate 1	Pig	4-cell_1	GSM7038207		4-cell		V0	oocytes of the same species	0.1148764321172134
GSE225056	Gate 1	Pig	4-cell_10	GSM7038216		4-cell		V0	oocytes of the same species	0.162229582260052
GSE225056	Gate 1	Pig	4-cell_11	GSM7038217		4-cell		V0	oocytes of the same species	0.1833980024606292
GSE225056	Gate 1	Pig	4-cell_12	GSM7038218		4-cell		V0	oocytes of the same species	0.132794813192108
GSE225056	Gate 1	Pig	4-cell_2	GSM7038208		4-cell		V0	oocytes of the same species	0.0857493631503531
GSE225056	Gate 1	Pig	4-cell_3	GSM7038209		4-cell		V0	oocytes of the same species	0.2351173475795022
GSE225056	Gate 1	Pig	4-cell_4	GSM7038210		4-cell		V0	oocytes of the same species	0.0593560727841293
GSE225056	Gate 1	Pig	4-cell_5	GSM7038211		4-cell		V0	oocytes of the same species	0.1479795952017633
GSE225056	Gate 1	Pig	4-cell_6	GSM7038212		4-cell		V0	oocytes of the same species	0.2198601273341354
